route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28007 - 28123,7075,1828,4869,23504,más de 30 min,28007,28123,178
28007 - 28125,11864,3215,6595,38435,más de 30 min,28007,28125,2
28007 - 28127,4508,1549,3385,15757,driving_best_guess,28007,28127,947
28007 - 28128,14735,3892,NA,50305,más de 30 min,28007,28128,8
28007 - 28129,11952,2679,6415,39963,más de 30 min,28007,28129,17
28007 - 28130,7910,1741,5701,25070,driving_best_guess,28007,28130,163
28007 - 28131,10871,3170,5725,34108,más de 30 min,28007,28131,9
28007 - 28132,5878,2170,NA,22898,más de 30 min,28007,28132,50
28007 - 28133,13469,3352,5871,44687,más de 30 min,28007,28133,15
28007 - 28134,9382,2335,5413,29110,más de 30 min,28007,28134,374
28007 - 28140,4105,1445,NA,13873,driving_best_guess,28007,28140,13
28007 - 28141,4592,1737,NA,16860,driving_best_guess,28007,28141,26
28007 - 28144,13103,2923,NA,44832,más de 30 min,28007,28144,3
28007 - 28145,13723,3289,7615,46282,más de 30 min,28007,28145,1
28007 - 28147,6695,2441,NA,27657,más de 30 min,28007,28147,1
28007 - 28148,8975,2124,4195,28889,más de 30 min,28007,28148,238
28007 - 28149,3752,1580,4375,13869,driving_best_guess,28007,28149,24
28007 - 28150,4135,1722,NA,15682,driving_best_guess,28007,28150,6
28007 - 28151,15632,3518,8340,52436,más de 30 min,28007,28151,13
28007 - 28152,7007,1862,7916,24770,más de 30 min,28007,28152,44
28007 - 28153,16189,3827,8340,54659,más de 30 min,28007,28153,5
28007 - 28154,11125,2706,7495,36899,más de 30 min,28007,28154,4
28007 - 28160,7254,2084,5335,23287,más de 30 min,28007,28160,19
28007 - 28161,4844,1500,4375,19572,driving_best_guess,28007,28161,144
28007 - 28162,12738,3139,7675,40512,más de 30 min,28007,28162,3
28007 - 28163,14874,3551,10075,49596,más de 30 min,28007,28163,1
28007 - 28164,12892,3027,7075,42278,más de 30 min,28007,28164,3
28007 - 28165,11272,2818,NA,39926,más de 30 min,28007,28165,1
28007 - 28167,8435,1854,NA,29162,más de 30 min,28007,28167,16
28007 - 28169,16376,3146,6960,51924,más de 30 min,28007,28169,2
28007 - 28171,8893,2903,NA,34155,más de 30 min,28007,28171,39
28007 - 28172,13133,2867,8077,42037,más de 30 min,28007,28172,1
28007 - 28173,13668,3366,NA,51488,más de 30 min,28007,28173,2
28007 - 28174,5400,1787,NA,20060,driving_best_guess,28007,28174,8
28007 - 28175,6706,2061,NA,23438,más de 30 min,28007,28175,3
28007 - 28176,4664,1896,8820,16289,más de 30 min,28007,28176,69
28007 - 28177,5843,2036,5683,20589,más de 30 min,28007,28177,24
28007 - 28178,5942,1829,NA,22690,más de 30 min,28007,28178,7
28007 - 28179,12512,3179,NA,44247,más de 30 min,28007,28179,1
28007 - 28180,14114,2934,NA,45590,más de 30 min,28007,28180,11
28007 - 28181,1678,1128,1588,6593,bicycling,28007,28181,494
28007 - 28183,10861,3085,6420,34137,más de 30 min,28007,28183,3
28007 - 28901,21170,3613,8940,65361,más de 30 min,28007,28901,7
28007 - 28903,8832,2076,4555,29570,más de 30 min,28007,28903,424
28008 - 28002,18487,3599,NA,62571,más de 30 min,28008,28002,1
28008 - 28004,4405,1552,NA,16710,driving_best_guess,28008,28004,3
28008 - 28005,18772,4192,NA,63707,más de 30 min,28008,28005,2
28008 - 28006,15580,3228,NA,50992,más de 30 min,28008,28006,5
28008 - 28007,7912,2048,NA,27079,más de 30 min,28008,28007,21
28008 - 28008,0,0,0,0,walking,28008,28008,124
28008 - 28014,15088,3452,NA,55579,más de 30 min,28008,28014,3
28008 - 28015,6601,1589,NA,22485,driving_best_guess,28008,28015,10
28008 - 28022,7403,1976,NA,26508,más de 30 min,28008,28022,5
28008 - 28026,5353,1712,NA,19181,driving_best_guess,28008,28026,3
28008 - 28036,7775,2571,NA,28776,más de 30 min,28008,28036,1
28008 - 28038,14056,4301,NA,41957,más de 30 min,28008,28038,1
28008 - 28040,11217,3405,NA,42504,más de 30 min,28008,28040,2
28008 - 28042,3236,973,NA,9783,driving_best_guess,28008,28042,1
28008 - 28044,9156,2598,NA,28672,más de 30 min,28008,28044,4
28008 - 28047,11294,3227,NA,35413,más de 30 min,28008,28047,2
28008 - 28049,14649,3075,NA,48597,más de 30 min,28008,28049,1
28008 - 28051,2379,753,NA,6380,driving_best_guess,28008,28051,2
28008 - 28053,19001,3911,NA,64236,más de 30 min,28008,28053,1
28008 - 28054,9633,3394,NA,28971,más de 30 min,28008,28054,1
28008 - 28058,8495,2266,NA,30148,más de 30 min,28008,28058,18
28008 - 28059,19053,4129,NA,64215,más de 30 min,28008,28059,1
28008 - 28060,20835,4581,NA,76682,más de 30 min,28008,28060,3
28008 - 28065,9549,2607,NA,34444,más de 30 min,28008,28065,12
28008 - 28066,7093,2159,NA,26024,más de 30 min,28008,28066,1
28008 - 28068,11484,3618,NA,35132,más de 30 min,28008,28068,1
28008 - 28073,8316,2295,NA,30479,más de 30 min,28008,28073,5
28008 - 28074,8709,2402,NA,31312,más de 30 min,28008,28074,9
28008 - 28079,11211,2981,NA,38032,más de 30 min,28008,28079,9
28008 - 28079-01,11225,3019,NA,37933,más de 30 min,28008,28079-01,15
28008 - 28079-02,10628,2630,NA,37019,más de 30 min,28008,28079-02,5
28008 - 28079-03,12184,3040,NA,40065,más de 30 min,28008,28079-03,28
28008 - 28079-04,11933,3428,NA,39804,más de 30 min,28008,28079-04,16
28008 - 28079-05,12716,3247,NA,42270,más de 30 min,28008,28079-05,21
28008 - 28079-06,12510,3380,NA,41491,más de 30 min,28008,28079-06,16
28008 - 28079-07,11667,2981,NA,38951,más de 30 min,28008,28079-07,20
28008 - 28079-08,13216,3291,NA,45446,más de 30 min,28008,28079-08,9
28008 - 28079-09,10786,2668,NA,37542,más de 30 min,28008,28079-09,6
28008 - 28079-10,9835,2458,NA,34931,más de 30 min,28008,28079-10,12
28008 - 28079-11,9813,2576,NA,33869,más de 30 min,28008,28079-11,3
28008 - 28079-12,10505,2577,NA,36515,más de 30 min,28008,28079-12,6
28008 - 28079-13,11879,2766,NA,39798,más de 30 min,28008,28079-13,1
28008 - 28079-14,12361,2889,NA,41343,más de 30 min,28008,28079-14,5
28008 - 28079-15,12993,2983,NA,43163,más de 30 min,28008,28079-15,12
28008 - 28079-16,13559,3175,NA,44889,más de 30 min,28008,28079-16,10
28008 - 28079-17,9987,2715,NA,35459,más de 30 min,28008,28079-17,12
28008 - 28079-18,13049,2558,NA,44120,más de 30 min,28008,28079-18,6
28008 - 28079-19,14060,3193,NA,46736,más de 30 min,28008,28079-19,4
28008 - 28079-20,14094,3190,NA,43945,más de 30 min,28008,28079-20,11
28008 - 28079-21,15391,3253,NA,47164,más de 30 min,28008,28079-21,16
28008 - 28080,9034,2628,NA,31507,más de 30 min,28008,28080,14
28008 - 28091,15230,3814,NA,55989,más de 30 min,28008,28091,1
28008 - 28092,6651,1889,NA,23800,más de 30 min,28008,28092,26
28008 - 28096,3583,1042,NA,12969,driving_best_guess,28008,28096,35
28008 - 28104,17210,3498,NA,60551,más de 30 min,28008,28104,1
28008 - 28106,9242,2541,NA,35124,más de 30 min,28008,28106,2
28008 - 28109,4981,1511,NA,13724,driving_best_guess,28008,28109,4
28008 - 28113,10298,2615,NA,39009,más de 30 min,28008,28113,2
28008 - 28115,9621,2567,NA,33984,más de 30 min,28008,28115,14
28008 - 28123,14781,3237,NA,50187,más de 30 min,28008,28123,4
28008 - 28127,9508,2530,NA,33426,más de 30 min,28008,28127,12
28008 - 28133,6869,1912,NA,18643,más de 30 min,28008,28133,6
28008 - 28134,16950,3717,NA,55231,más de 30 min,28008,28134,3
28008 - 28141,3865,1427,NA,13708,driving_best_guess,28008,28141,5
28008 - 28149,8199,2297,NA,29702,más de 30 min,28008,28149,1
28008 - 28152,11617,2851,NA,35761,más de 30 min,28008,28152,4
28008 - 28161,10377,2703,NA,38577,más de 30 min,28008,28161,1
28008 - 28171,2293,779,NA,8112,driving_best_guess,28008,28171,8
28008 - 28174,1668,664,NA,6266,bicycling,28008,28174,9
28008 - 28176,6277,1973,NA,23093,más de 30 min,28008,28176,5
28008 - 28177,7793,2692,NA,28579,más de 30 min,28008,28177,2
28008 - 28178,3430,1359,NA,12447,driving_best_guess,28008,28178,1
28008 - 28181,6591,1923,NA,23642,más de 30 min,28008,28181,11
28008 - 28183,8350,2665,NA,23500,más de 30 min,28008,28183,1
28009 - 28002,1955,655,720,6540,transit,28009,28002,43
28009 - 28005,4264,1696,4620,15572,driving_best_guess,28009,28005,194
28009 - 28006,2992,1028,8340,10718,driving_best_guess,28009,28006,873
28009 - 28007,10937,2423,8085,35694,más de 30 min,28009,28007,22
28009 - 28008,17055,3934,NA,60723,más de 30 min,28009,28008,1
28009 - 28009,0,2,0,0,walking,28009,28009,1260
28009 - 28013,14583,3576,9840,54330,más de 30 min,28009,28013,5
28009 - 28014,7588,2122,7292,28346,más de 30 min,28009,28014,18
28009 - 28015,13276,2898,NA,44305,más de 30 min,28009,28015,4
28009 - 28022,11000,2555,10889,36991,más de 30 min,28009,28022,18
28009 - 28023,11078,2855,NA,36290,más de 30 min,28009,28023,1
28009 - 28027,11967,2311,9579,40160,más de 30 min,28009,28027,1
28009 - 28030,8321,2025,7440,28015,más de 30 min,28009,28030,1
28009 - 28032,3313,1550,3360,10804,driving_best_guess,28009,28032,10
28009 - 28034,14112,2786,18840,44218,más de 30 min,28009,28034,1
28009 - 28036,13437,3001,NA,48887,más de 30 min,28009,28036,1
28009 - 28040,12122,3184,9180,43935,más de 30 min,28009,28040,14
28009 - 28041,941,692,360,2827,bicycling,28009,28041,94
28009 - 28042,18941,3514,12137,58598,más de 30 min,28009,28042,9
28009 - 28043,14502,3313,NA,48981,más de 30 min,28009,28043,1
28009 - 28045,7130,2197,22800,23893,más de 30 min,28009,28045,64
28009 - 28047,12525,2698,9360,42476,más de 30 min,28009,28047,6
28009 - 28049,5120,1588,4260,20164,driving_best_guess,28009,28049,58
28009 - 28053,1590,799,960,5317,bicycling,28009,28053,52
28009 - 28054,14801,4010,NA,50056,más de 30 min,28009,28054,1
28009 - 28055,14035,3649,NA,49129,más de 30 min,28009,28055,1
28009 - 28056,17522,3964,14040,56457,más de 30 min,28009,28056,1
28009 - 28057,1836,1043,6420,6067,driving_best_guess,28009,28057,1
28009 - 28058,11705,2711,7920,38478,más de 30 min,28009,28058,13
28009 - 28059,886,349,3438,3438,bicycling,28009,28059,98
28009 - 28061,12709,2970,9951,42325,más de 30 min,28009,28061,3
28009 - 28063,14046,2784,18210,44448,más de 30 min,28009,28063,1
28009 - 28064,13053,2635,14880,43345,más de 30 min,28009,28064,1
28009 - 28065,10122,2573,7200,34925,más de 30 min,28009,28065,33
28009 - 28066,13601,3121,NA,45906,más de 30 min,28009,28066,2
28009 - 28067,8169,2028,5700,26473,más de 30 min,28009,28067,1
28009 - 28071,14594,3250,11760,46765,más de 30 min,28009,28071,2
28009 - 28073,12503,2973,8760,41189,más de 30 min,28009,28073,1
28009 - 28074,10483,2576,7500,33442,más de 30 min,28009,28074,24
28009 - 28075,5886,1780,NA,21245,driving_best_guess,28009,28075,3
28009 - 28079,6440,2429,5460,23665,más de 30 min,28009,28079,56
28009 - 28079-01,6593,2338,6697,24237,más de 30 min,28009,28079-01,174
28009 - 28079-02,8218,1931,7315,25495,más de 30 min,28009,28079-02,84
28009 - 28079-03,6988,1863,6534,23449,más de 30 min,28009,28079-03,96
28009 - 28079-04,6157,2076,6110,22220,más de 30 min,28009,28079-04,210
28009 - 28079-05,5464,1582,6654,19787,driving_best_guess,28009,28079-05,315
28009 - 28079-06,5627,1782,6632,20412,driving_best_guess,28009,28079-06,185
28009 - 28079-07,6115,2011,6242,22836,más de 30 min,28009,28079-07,180
28009 - 28079-08,6242,2031,NA,21789,más de 30 min,28009,28079-08,264
28009 - 28079-09,7454,1679,9344,25920,driving_best_guess,28009,28079-09,104
28009 - 28079-10,8687,2210,7301,26946,más de 30 min,28009,28079-10,30
28009 - 28079-11,9197,2394,8293,28683,más de 30 min,28009,28079-11,37
28009 - 28079-12,8751,2172,7184,26974,más de 30 min,28009,28079-12,18
28009 - 28079-13,7515,1914,5600,25466,más de 30 min,28009,28079-13,37
28009 - 28079-14,6508,1884,6627,23714,más de 30 min,28009,28079-14,18
28009 - 28079-15,5831,1706,6406,20215,driving_best_guess,28009,28079-15,160
28009 - 28079-16,5461,1393,4874,17707,driving_best_guess,28009,28079-16,206
28009 - 28079-17,9025,2380,7373,30031,más de 30 min,28009,28079-17,50
28009 - 28079-18,7278,1612,6480,27214,driving_best_guess,28009,28079-18,57
28009 - 28079-19,6344,2039,5738,24338,más de 30 min,28009,28079-19,9
28009 - 28079-20,5449,1848,6458,21465,más de 30 min,28009,28079-20,243
28009 - 28079-21,4044,1600,4698,20570,driving_best_guess,28009,28079-21,164
28009 - 28080,10308,2015,12480,32985,más de 30 min,28009,28080,21
28009 - 28083,4206,1360,3561,13315,driving_best_guess,28009,28083,8
28009 - 28084,5567,1772,NA,20269,driving_best_guess,28009,28084,4
28009 - 28086,5068,1364,10980,16086,driving_best_guess,28009,28086,6
28009 - 28089,13066,2908,NA,43073,más de 30 min,28009,28089,1
28009 - 28092,11592,2764,8914,38940,más de 30 min,28009,28092,9
28009 - 28096,14390,2981,12009,49406,más de 30 min,28009,28096,6
28009 - 28102,10748,2790,NA,37559,más de 30 min,28009,28102,1
28009 - 28104,2879,1072,2836,9740,driving_best_guess,28009,28104,70
28009 - 28106,11642,2725,8285,42740,más de 30 min,28009,28106,1
28009 - 28108,5690,1486,11460,17834,driving_best_guess,28009,28108,3
28009 - 28113,10427,2384,8580,39481,más de 30 min,28009,28113,8
28009 - 28115,8797,1772,7380,30007,driving_best_guess,28009,28115,86
28009 - 28120,18307,4306,NA,55673,más de 30 min,28009,28120,2
28009 - 28122,3295,1475,5580,10626,driving_best_guess,28009,28122,2
28009 - 28123,6854,2012,6374,24218,más de 30 min,28009,28123,20
28009 - 28127,9406,1928,8220,31472,más de 30 min,28009,28127,84
28009 - 28129,3716,1137,10320,13401,driving_best_guess,28009,28129,49
28009 - 28130,4651,1378,6726,16107,driving_best_guess,28009,28130,44
28009 - 28131,16023,3620,10800,52581,más de 30 min,28009,28131,1
28009 - 28134,1643,921,6403,6811,bicycling,28009,28134,733
28009 - 28144,9182,2413,NA,31233,más de 30 min,28009,28144,2
28009 - 28145,3125,1165,3660,12589,driving_best_guess,28009,28145,15
28009 - 28147,12253,3408,NA,44689,más de 30 min,28009,28147,1
28009 - 28148,3606,1458,3253,13305,driving_best_guess,28009,28148,116
28009 - 28151,5261,1809,4325,20328,más de 30 min,28009,28151,2
28009 - 28152,10924,2319,14821,33112,más de 30 min,28009,28152,3
28009 - 28153,5818,2114,4560,22551,más de 30 min,28009,28153,2
28009 - 28154,6476,1689,4800,22861,driving_best_guess,28009,28154,6
28009 - 28161,11710,2477,8880,44056,más de 30 min,28009,28161,4
28009 - 28162,1470,561,1560,5064,bicycling,28009,28162,109
28009 - 28164,2159,908,3000,8585,driving_best_guess,28009,28164,17
28009 - 28165,9353,2546,NA,32711,más de 30 min,28009,28165,2
28009 - 28167,5947,1736,NA,22682,driving_best_guess,28009,28167,2
28009 - 28172,6479,1814,4782,22779,más de 30 min,28009,28172,3
28009 - 28176,14202,2738,9540,43789,más de 30 min,28009,28176,2
28009 - 28180,13411,2962,NA,44415,más de 30 min,28009,28180,1
28009 - 28181,11727,2404,9277,39785,más de 30 min,28009,28181,1
28009 - 28902,10675,2527,11717,35634,más de 30 min,28009,28902,1
28009 - 28903,5937,1593,6720,16482,driving_best_guess,28009,28903,138
28010 - 28002,13769,3159,7620,46906,más de 30 min,28010,28002,3
28010 - 28005,17677,3975,6720,57534,más de 30 min,28010,28005,15
28010 - 28006,9941,2375,4920,35635,más de 30 min,28010,28006,145
28010 - 28007,9246,2331,6525,34536,más de 30 min,28010,28007,34
28010 - 28009,11828,3094,8040,41967,más de 30 min,28010,28009,3
28010 - 28010,0,0,0,0,walking,28010,28010,578
28010 - 28013,18051,4041,6660,69063,más de 30 min,28010,28013,5
28010 - 28014,14613,3523,7532,54943,más de 30 min,28010,28014,3
28010 - 28015,10641,2557,NA,38408,más de 30 min,28010,28015,1
28010 - 28018,2196,873,NA,6141,driving_best_guess,28010,28018,15
28010 - 28022,6990,2210,8549,27224,más de 30 min,28010,28022,35
28010 - 28023,3221,1487,NA,10556,driving_best_guess,28010,28023,13
28010 - 28031,14734,4681,NA,49451,más de 30 min,28010,28031,1
28010 - 28038,3631,1385,1020,9043,transit,28010,28038,23
28010 - 28040,15545,3634,6000,57740,más de 30 min,28010,28040,1
28010 - 28041,12717,3243,8520,43228,más de 30 min,28010,28041,1
28010 - 28042,7537,2888,10577,27577,más de 30 min,28010,28042,2
28010 - 28044,2604,1402,NA,9829,driving_best_guess,28010,28044,33
28010 - 28045,5453,2268,24120,19255,más de 30 min,28010,28045,44
28010 - 28046,1290,801,360,3665,bicycling,28010,28046,42
28010 - 28047,947,693,480,3757,bicycling,28010,28047,570
28010 - 28049,13506,2946,5460,43924,más de 30 min,28010,28049,12
28010 - 28051,8504,3062,8940,31124,más de 30 min,28010,28051,1
28010 - 28053,13873,3496,7980,47270,más de 30 min,28010,28053,2
28010 - 28054,2629,1848,NA,9458,más de 30 min,28010,28054,38
28010 - 28058,10624,2497,5820,40458,más de 30 min,28010,28058,8
28010 - 28059,11338,3279,7380,41026,más de 30 min,28010,28059,1
28010 - 28061,2082,1269,4980,8122,driving_best_guess,28010,28061,58
28010 - 28065,11605,2698,5640,41141,más de 30 min,28010,28065,20
28010 - 28066,12240,2810,NA,45805,más de 30 min,28010,28066,1
28010 - 28067,6907,2736,12240,25792,más de 30 min,28010,28067,1
28010 - 28068,1290,737,1260,4575,bicycling,28010,28068,79
28010 - 28072,3900,1498,NA,10825,driving_best_guess,28010,28072,8
28010 - 28074,10949,2491,5340,37767,más de 30 min,28010,28074,29
28010 - 28079,8895,2676,2760,32903,más de 30 min,28010,28079,43
28010 - 28079-01,8974,2617,4606,33113,más de 30 min,28010,28079-01,182
28010 - 28079-02,8727,2308,4455,33562,más de 30 min,28010,28079-02,92
28010 - 28079-03,9868,2879,5183,35398,más de 30 min,28010,28079-03,69
28010 - 28079-04,9140,3032,4319,33819,más de 30 min,28010,28079-04,149
28010 - 28079-05,10891,2632,3780,35555,más de 30 min,28010,28079-05,207
28010 - 28079-06,11156,2755,3684,34598,más de 30 min,28010,28079-06,128
28010 - 28079-07,8556,2275,3914,32092,más de 30 min,28010,28079-07,165
28010 - 28079-08,7609,2513,NA,24218,más de 30 min,28010,28079-08,147
