route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
28010 - 28079-09,7375,1769,6316,28528,driving_best_guess,28010,28079-09,147
28010 - 28079-10,8667,2508,4992,32504,más de 30 min,28010,28079-10,31
28010 - 28079-11,9782,2580,6284,33883,más de 30 min,28010,28079-11,34
28010 - 28079-12,9260,2649,5746,35115,más de 30 min,28010,28079-12,22
28010 - 28079-13,9978,2634,5180,36488,más de 30 min,28010,28079-13,23
28010 - 28079-14,10459,2785,5267,36893,más de 30 min,28010,28079-14,5
28010 - 28079-15,11691,2919,5034,36841,más de 30 min,28010,28079-15,82
28010 - 28079-16,11554,2547,4777,38403,más de 30 min,28010,28079-16,110
28010 - 28079-17,10451,2805,5813,38550,más de 30 min,28010,28079-17,33
28010 - 28079-18,11491,2650,6433,41682,más de 30 min,28010,28079-18,34
28010 - 28079-19,12502,3344,6458,42063,más de 30 min,28010,28079-19,9
28010 - 28079-20,12650,2999,5017,38115,más de 30 min,28010,28079-20,142
28010 - 28079-21,12585,2780,6472,41334,más de 30 min,28010,28079-21,75
28010 - 28080,5350,1632,7200,20856,driving_best_guess,28010,28080,105
28010 - 28082,3666,1586,NA,13219,driving_best_guess,28010,28082,7
28010 - 28083,16618,3700,8421,55286,más de 30 min,28010,28083,1
28010 - 28084,15402,3515,NA,49624,más de 30 min,28010,28084,1
28010 - 28085,7594,2891,NA,25594,más de 30 min,28010,28085,2
28010 - 28087,2136,977,600,6122,transit,28010,28087,5
28010 - 28090,1643,807,NA,5266,bicycling,28010,28090,62
28010 - 28092,9569,2399,7243,36160,más de 30 min,28010,28092,20
28010 - 28093,3832,NA,NA,9213,más de 30 min,28010,28093,10
28010 - 28096,9174,2641,10449,34449,más de 30 min,28010,28096,1
28010 - 28106,12065,2834,6725,46593,más de 30 min,28010,28106,2
28010 - 28113,13236,2846,5400,48882,más de 30 min,28010,28113,6
28010 - 28115,6617,1814,3420,25944,más de 30 min,28010,28115,185
28010 - 28120,12221,3365,NA,30246,más de 30 min,28010,28120,4
28010 - 28123,13223,3294,6614,48404,más de 30 min,28010,28123,10
28010 - 28125,6887,2534,7680,23438,más de 30 min,28010,28125,2
28010 - 28127,4795,1390,1440,18989,transit,28010,28127,345
28010 - 28129,9154,2724,6720,30277,más de 30 min,28010,28129,5
28010 - 28130,14522,3038,7337,47385,más de 30 min,28010,28130,5
28010 - 28131,3722,1463,2820,12452,driving_best_guess,28010,28131,40
28010 - 28132,13956,3467,NA,52736,más de 30 min,28010,28132,3
28010 - 28134,10790,2863,6823,35220,más de 30 min,28010,28134,43
28010 - 28144,5312,2129,NA,19587,más de 30 min,28010,28144,3
28010 - 28145,11117,3850,8520,41134,más de 30 min,28010,28145,1
28010 - 28148,15587,3364,5940,51204,más de 30 min,28010,28148,14
28010 - 28149,12350,2873,7620,48454,más de 30 min,28010,28149,1
28010 - 28152,2987,1059,5161,10743,driving_best_guess,28010,28152,117
28010 - 28154,18085,3860,8640,59214,más de 30 min,28010,28154,1
28010 - 28160,4442,2117,5616,16732,más de 30 min,28010,28160,7
28010 - 28161,14519,2939,5700,53407,más de 30 min,28010,28161,6
28010 - 28162,12669,3660,11820,45092,más de 30 min,28010,28162,3
