code,inside,outside,workers_count,inside_per,outside_per,places,statistical_zone,name,province,loc_string
28124,2,27,29,0.06896551724137931,0.9310344827586207,19,06,Robledillo de la Jara,Madrid,Robledillo+de+la+Jara+Madrid+spain
28125,264,803,1067,0.24742268041237114,0.7525773195876289,80,10,Robledo de Chavela,Madrid,Robledo+de+Chavela+Madrid+spain
28126,2,16,18,0.1111111111111111,0.8888888888888888,14,06,Robregordo,Madrid,Robregordo+Madrid+spain
28127,7819,25298,33117,0.23610230395265272,0.7638976960473473,128,05,Las Rozas de Madrid,Madrid,Las+Rozas+de+Madrid+Madrid+spain
28128,39,90,129,0.3023255813953488,0.6976744186046512,40,10,Rozas de Puerto Real,Madrid,Rozas+de+Puerto+Real+Madrid+spain
28129,860,3639,4499,0.19115358968659701,0.808846410313403,100,02,San Agustín del Guadalix,Madrid,San+Agustín+del+Guadalix+Madrid+spain
28130,1808,14363,16171,0.11180508317358234,0.8881949168264177,120,03,San Fernando de Henares,Madrid,San+Fernando+de+Henares+Madrid+spain
28131,1535,4036,5571,0.2755340154370849,0.7244659845629151,102,11,San Lorenzo de El Escorial,Madrid,San+Lorenzo+de+El+Escorial+Madrid+spain
28132,1137,5039,6176,0.18409974093264247,0.8159002590673575,98,04,San Martín de la Vega,Madrid,San+Martín+de+la+Vega+Madrid+spain
28133,796,1206,2002,0.39760239760239763,0.6023976023976024,83,10,San Martín de Valdeiglesias,Madrid,San+Martín+de+Valdeiglesias+Madrid+spain
28134,7702,26224,33926,0.22702352178270352,0.7729764782172964,144,02,San Sebastián de los Reyes,Madrid,San+Sebastián+de+los+Reyes+Madrid+spain
28135,54,223,277,0.19494584837545126,0.8050541516245487,59,10,Santa María de la Alameda,Madrid,Santa+María+de+la+Alameda+Madrid+spain
28136,22,201,223,0.09865470852017937,0.9013452914798207,50,08,Santorcaz,Madrid,Santorcaz+Madrid+spain
28137,77,664,741,0.1039136302294197,0.8960863697705803,65,08,Los Santos de la Humosa,Madrid,Los+Santos+de+la+Humosa+Madrid+spain
28138,2,28,30,0.06666666666666667,0.9333333333333333,21,06,La Serna del Monte,Madrid,La+Serna+del+Monte+Madrid+spain
28140,100,1133,1233,0.08110300081103,0.9188969991889699,71,09,Serranillos del Valle,Madrid,Serranillos+del+Valle+Madrid+spain
28141,380,2586,2966,0.12811867835468643,0.8718813216453135,93,09,Sevilla la Nueva,Madrid,Sevilla+la+Nueva+Madrid+spain
28143,4,24,28,0.14285714285714285,0.8571428571428571,19,06,Somosierra,Madrid,Somosierra+Madrid+spain
28144,582,2085,2667,0.21822272215973004,0.78177727784027,91,11,Soto del Real,Madrid,Soto+del+Real+Madrid+spain
28145,196,1025,1221,0.16052416052416052,0.8394758394758395,80,07,Talamanca de Jarama,Madrid,Talamanca+de+Jarama+Madrid+spain
28146,202,633,835,0.24191616766467067,0.7580838323353294,69,08,Tielmes,Madrid,Tielmes+Madrid+spain
28147,45,322,367,0.1226158038147139,0.8773841961852861,51,08,Titulcia,Madrid,Titulcia+Madrid+spain
28148,11800,34857,46657,0.2529095312600467,0.7470904687399533,141,03,Torrejón de Ardoz,Madrid,Torrejón+de+Ardoz+Madrid+spain
28149,424,2247,2671,0.15874204417821042,0.8412579558217896,74,09,Torrejón de la Calzada,Madrid,Torrejón+de+la+Calzada+Madrid+spain
28150,132,1148,1280,0.103125,0.896875,71,09,Torrejón de Velasco,Madrid,Torrejón+de+Velasco+Madrid+spain
28151,291,1245,1536,0.189453125,0.810546875,96,06,Torrelaguna,Madrid,Torrelaguna+Madrid+spain
28152,1045,6064,7109,0.14699676466450978,0.8530032353354903,92,05,Torrelodones,Madrid,Torrelodones+Madrid+spain
28153,67,201,268,0.25,0.75,59,06,Torremocha de Jarama,Madrid,Torremocha+de+Jarama+Madrid+spain
