status,distance.value,duration.value,origin,origin_ine_code,dest_ine_code,destination
OK,89578,18162,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28026,"28690 Brunete, Madrid, Spain"
OK,11144,2233,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,34399,7743,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28033,"28510 Campo Real, Madrid, Spain"
OK,140202,28926,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28037,"28650 Cenicientos, Madrid, Spain"
OK,86422,20124,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28038,"Cercedilla, Madrid, Spain"
OK,62080,12248,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28040,"28350 Ciempozuelos, Madrid, Spain"
OK,26451,5707,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28041,"28863 Cobeña, Madrid, Spain"
OK,112363,23003,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28042,"28213 Colmenar del Arroyo, Madrid, Spain"
OK,64225,14014,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28043,"28380 Colmenar de Oreja, Madrid, Spain"
OK,94668,20130,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28044,"Colmenarejo, Madrid, Spain"
OK,56321,12662,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28045,"28770 Colmenar Viejo, Madrid, Spain"
OK,81559,18150,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28046,"Collado Mediano, Madrid, Spain"
OK,82935,18057,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28047,"28400 Collado Villalba, Madrid, Spain"
OK,23499,5766,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28048,"28811 Corpa, Madrid, Spain"
OK,35886,6945,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28049,"Coslada, Madrid, Spain"
OK,78826,15040,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28050,"28978 Cubas de la Sagra, Madrid, Spain"
OK,62979,13584,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28052,"28370 Chinchón, Madrid, Spain"
OK,19629,4411,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28053,"28814 Daganzo de Arriba, Madrid, Spain"
OK,15857,3445,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28057,"28815 Fresno de Torote, Madrid, Spain"
OK,68254,13833,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28058,"Fuenlabrada, Madrid, Spain"
OK,27515,5912,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28059,"28140 Fuente el Saz de Jarama, Madrid, Spain"
OK,65273,13657,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28060,"28597 Fuentidueña de Tajo, Madrid, Spain"
OK,83091,18241,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28061,"Galapagar, Madrid, Spain"
OK,60324,11530,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28065,"Getafe, Madrid, Spain"
OK,80224,15232,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28066,"28971 Griñón, Madrid, Spain"
OK,57248,12186,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28067,"28794 Guadalix de la Sierra, Madrid, Spain"
OK,87640,19300,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28068,"Guadarrama, 28440, Madrid, Spain"
OK,71979,14631,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28073,"Humanes de Madrid, Madrid, Spain"
OK,63494,12956,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28074,"Leganés, Madrid, Spain"
OK,28699,5856,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28075,"28890 Loeches, Madrid, Spain"
OK,51162,10455,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079,"Madrid, Spain"
OK,51654,10543,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-01,"Centro, Madrid, Spain"
OK,56314,11140,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-02,"Arganzuela, Madrid, Spain"
