route,origin_ine_code,destination_ine_code,workers_count
19071 - 28079-13,19071,28079-13,15
19071 - 28079-14,19071,28079-14,4
19071 - 28079-15,19071,28079-15,59
19071 - 28079-16,19071,28079-16,59
19071 - 28079-17,19071,28079-17,10
19071 - 28079-18,19071,28079-18,37
19071 - 28079-19,19071,28079-19,3
19071 - 28079-20,19071,28079-20,71
19071 - 28079-21,19071,28079-21,60
19071 - 28080,19071,28080,7
19071 - 28083,19071,28083,7
19071 - 28084,19071,28084,1
19071 - 28086,19071,28086,1
19071 - 28092,19071,28092,3
19071 - 28104,19071,28104,14
19071 - 28107,19071,28107,2
19071 - 28113,19071,28113,1
19071 - 28115,19071,28115,28
19071 - 28121,19071,28121,2
19071 - 28122,19071,28122,3
19071 - 28123,19071,28123,8
19071 - 28127,19071,28127,19
19071 - 28129,19071,28129,6
19071 - 28130,19071,28130,7
19071 - 28134,19071,28134,117
19071 - 28145,19071,28145,3
19071 - 28148,19071,28148,12
19071 - 28151,19071,28151,2
19071 - 28156,19071,28156,2
19071 - 28161,19071,28161,2
19071 - 28162,19071,28162,20
19071 - 28164,19071,28164,8
19071 - 28169,19071,28169,1
19071 - 28176,19071,28176,2
19071 - 28903,19071,28903,23
19105 - 28002,19105,28002,5
19105 - 28004,19105,28004,1
19105 - 28005,19105,28005,67
19105 - 28006,19105,28006,21
19105 - 28007,19105,28007,4
19105 - 28013,19105,28013,3
19105 - 28014,19105,28014,1
19105 - 28022,19105,28022,2
19105 - 28032,19105,28032,1
19105 - 28037,19105,28037,1
19105 - 28040,19105,28040,1
19105 - 28041,19105,28041,2
19105 - 28045,19105,28045,1
19105 - 28047,19105,28047,3
19105 - 28049,19105,28049,9
19105 - 28053,19105,28053,2
19105 - 28055,19105,28055,1
19105 - 28058,19105,28058,1
19105 - 28065,19105,28065,9
19105 - 28073,19105,28073,2
19105 - 28074,19105,28074,5
19105 - 28075,19105,28075,3
19105 - 28079,19105,28079,3
19105 - 28079-01,19105,28079-01,17
19105 - 28079-02,19105,28079-02,6
19105 - 28079-03,19105,28079-03,6
19105 - 28079-04,19105,28079-04,14
19105 - 28079-05,19105,28079-05,20
19105 - 28079-06,19105,28079-06,13
19105 - 28079-07,19105,28079-07,7
19105 - 28079-08,19105,28079-08,6
19105 - 28079-09,19105,28079-09,2
19105 - 28079-10,19105,28079-10,4
19105 - 28079-11,19105,28079-11,1
19105 - 28079-12,19105,28079-12,2
19105 - 28079-13,19105,28079-13,3
19105 - 28079-14,19105,28079-14,1
19105 - 28079-15,19105,28079-15,11
19105 - 28079-16,19105,28079-16,14
19105 - 28079-17,19105,28079-17,3
19105 - 28079-18,19105,28079-18,7
19105 - 28079-19,19105,28079-19,1
19105 - 28079-20,19105,28079-20,15
19105 - 28079-21,19105,28079-21,12
19105 - 28080,19105,28080,1
19105 - 28083,19105,28083,9
19105 - 28113,19105,28113,1
19105 - 28115,19105,28115,4
19105 - 28122,19105,28122,1
19105 - 28123,19105,28123,1
19105 - 28127,19105,28127,2
19105 - 28130,19105,28130,6
19105 - 28134,19105,28134,1
19105 - 28136,19105,28136,1
19105 - 28148,19105,28148,8
19105 - 28162,19105,28162,1
19105 - 28172,19105,28172,2
19105 - 28903,19105,28903,6
19117 - 28002,19117,28002,3
19117 - 28005,19117,28005,29
19117 - 28006,19117,28006,8
19117 - 28007,19117,28007,9
19117 - 28013,19117,28013,4
19117 - 28014,19117,28014,1
19117 - 28024,19117,28024,1
19117 - 28032,19117,28032,1
19117 - 28045,19117,28045,1
19117 - 28053,19117,28053,2
19117 - 28065,19117,28065,2
19117 - 28079,19117,28079,1
19117 - 28079-01,19117,28079-01,2
19117 - 28079-02,19117,28079-02,4
19117 - 28079-03,19117,28079-03,2
19117 - 28079-04,19117,28079-04,2
19117 - 28079-05,19117,28079-05,4
19117 - 28079-06,19117,28079-06,1
19117 - 28079-07,19117,28079-07,3
19117 - 28079-08,19117,28079-08,3
19117 - 28079-09,19117,28079-09,3
19117 - 28079-12,19117,28079-12,2
19117 - 28079-13,19117,28079-13,2
19117 - 28079-14,19117,28079-14,1
19117 - 28079-15,19117,28079-15,7
19117 - 28079-16,19117,28079-16,2
19117 - 28079-17,19117,28079-17,2
19117 - 28079-18,19117,28079-18,1
19117 - 28079-19,19117,28079-19,1
19117 - 28079-20,19117,28079-20,6
19117 - 28079-21,19117,28079-21,2
19117 - 28083,19117,28083,6
19117 - 28106,19117,28106,1
19117 - 28115,19117,28115,2
