status,distance,duration,origin,destination,mode,traffic,departure_time,origin_ine_code,dest_ine_code,duration_in_traffic
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Velilla de San Antonio, Madrid, Spain",transit,NA,1530000000,45205,28167,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28630 Villa del Prado, Madrid, Spain",transit,NA,1530000000,45205,28171,NA
OK,89547,10787,"45210 Yuncos, Toledo, Spain","28810 Villalbilla, Madrid, Spain",transit,NA,1530000000,45205,28172,NA
OK,74789,9773,"45210 Yuncos, Toledo, Spain","Villanueva del Pardillo, 28229, Madrid, Spain",transit,NA,1530000000,45205,28177,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28590 Villarejo de Salvanés, Madrid, Spain",transit,NA,1530000000,45205,28180,NA
OK,71548,8082,"45210 Yuncos, Toledo, Spain","Villaviciosa de Odón, Madrid, Spain",transit,NA,1530000000,45205,28181,NA
OK,68168,8105,"45210 Yuncos, Toledo, Spain","28760 Tres Cantos, Madrid, Spain",transit,NA,1530000000,45205,28903,NA
OK,30867,3780,"19200 Azuqueca de Henares, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",transit,NA,1530000000,19046,28002,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",transit,NA,1530000000,19046,28004,NA
OK,11811,840,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",transit,NA,1530000000,19046,28005,NA
OK,61378,5700,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcobendas, Madrid, Spain",transit,NA,1530000000,19046,28006,NA
OK,60634,5445,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcorcón, Madrid, Spain",transit,NA,1530000000,19046,28007,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",transit,NA,1530000000,19046,28008,NA
OK,32525,3780,"19200 Azuqueca de Henares, Guadalajara, Spain","28110 Algete, Madrid, Spain",transit,NA,1530000000,19046,28009,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28580 Ambite, Madrid, Spain",transit,NA,1530000000,19046,28011,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",transit,NA,1530000000,19046,28012,NA
OK,93092,7200,"19200 Azuqueca de Henares, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",transit,NA,1530000000,19046,28013,NA
OK,53675,4652,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",transit,NA,1530000000,19046,28014,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",transit,NA,1530000000,19046,28015,NA
OK,79693,9720,"19200 Azuqueca de Henares, Guadalajara, Spain","28189 El Atazar, Madrid, Spain",transit,NA,1530000000,19046,28016,NA
OK,107322,10174,"19200 Azuqueca de Henares, Guadalajara, Spain","28192 El Berrueco, Madrid, Spain",transit,NA,1530000000,19046,28021,NA
OK,75064,8729,"19200 Azuqueca de Henares, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",transit,NA,1530000000,19046,28022,NA
OK,131785,16020,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 Braojos, Madrid, Spain",transit,NA,1530000000,19046,28024,NA
OK,82218,7792,"19200 Azuqueca de Henares, Guadalajara, Spain","28690 Brunete, Madrid, Spain",transit,NA,1530000000,19046,28026,NA
OK,20944,3410,"19200 Azuqueca de Henares, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",transit,NA,1530000000,19046,28032,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",transit,NA,1530000000,19046,28033,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28650 Cenicientos, Madrid, Spain",transit,NA,1530000000,19046,28037,NA
OK,111170,9780,"19200 Azuqueca de Henares, Guadalajara, Spain","Cercedilla, Madrid, Spain",transit,NA,1530000000,19046,28038,NA
OK,78362,6540,"19200 Azuqueca de Henares, Guadalajara, Spain","28350 Ciempozuelos, Madrid, Spain",transit,NA,1530000000,19046,28040,NA
OK,29119,3420,"19200 Azuqueca de Henares, Guadalajara, Spain","28863 Cobeña, Madrid, Spain",transit,NA,1530000000,19046,28041,NA
OK,104867,9497,"19200 Azuqueca de Henares, Guadalajara, Spain","28213 Colmenar del Arroyo, Madrid, Spain",transit,NA,1530000000,19046,28042,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28380 Colmenar de Oreja, Madrid, Spain",transit,NA,1530000000,19046,28043,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","Colmenarejo, Madrid, Spain",transit,NA,1530000000,19046,28044,NA
OK,79287,22920,"19200 Azuqueca de Henares, Guadalajara, Spain","28770 Colmenar Viejo, Madrid, Spain",transit,NA,1530000000,19046,28045,NA
OK,102152,9120,"19200 Azuqueca de Henares, Guadalajara, Spain","Collado Mediano, Madrid, Spain",transit,NA,1530000000,19046,28046,NA
OK,91464,6780,"19200 Azuqueca de Henares, Guadalajara, Spain","28400 Collado Villalba, Madrid, Spain",transit,NA,1530000000,19046,28047,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28811 Corpa, Madrid, Spain",transit,NA,1530000000,19046,28048,NA
OK,30179,2100,"19200 Azuqueca de Henares, Guadalajara, Spain","Coslada, Madrid, Spain",transit,NA,1530000000,19046,28049,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28978 Cubas de la Sagra, Madrid, Spain",transit,NA,1530000000,19046,28050,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28370 Chinchón, Madrid, Spain",transit,NA,1530000000,19046,28052,NA
OK,32691,4020,"19200 Azuqueca de Henares, Guadalajara, Spain","28814 Daganzo de Arriba, Madrid, Spain",transit,NA,1530000000,19046,28053,NA
OK,39974,3900,"19200 Azuqueca de Henares, Guadalajara, Spain","28815 Fresno de Torote, Madrid, Spain",transit,NA,1530000000,19046,28057,NA
OK,65631,5280,"19200 Azuqueca de Henares, Guadalajara, Spain","Fuenlabrada, Madrid, Spain",transit,NA,1530000000,19046,28058,NA
OK,77942,7920,"19200 Azuqueca de Henares, Guadalajara, Spain","28140 Fuente el Saz de Jarama, Madrid, Spain",transit,NA,1530000000,19046,28059,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28597 Fuentidueña de Tajo, Madrid, Spain",transit,NA,1530000000,19046,28060,NA
OK,86350,8220,"19200 Azuqueca de Henares, Guadalajara, Spain","Galapagar, Madrid, Spain",transit,NA,1530000000,19046,28061,NA
OK,59280,4560,"19200 Azuqueca de Henares, Guadalajara, Spain","Getafe, Madrid, Spain",transit,NA,1530000000,19046,28065,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28971 Griñón, Madrid, Spain",transit,NA,1530000000,19046,28066,NA
OK,100679,11280,"19200 Azuqueca de Henares, Guadalajara, Spain","28794 Guadalix de la Sierra, Madrid, Spain",transit,NA,1530000000,19046,28067,NA
OK,108056,9480,"19200 Azuqueca de Henares, Guadalajara, Spain","Guadarrama, 28440, Madrid, Spain",transit,NA,1530000000,19046,28068,NA
OK,69578,6120,"19200 Azuqueca de Henares, Guadalajara, Spain","Humanes de Madrid, Madrid, Spain",transit,NA,1530000000,19046,28073,NA
OK,60009,4860,"19200 Azuqueca de Henares, Guadalajara, Spain","Leganés, Madrid, Spain",transit,NA,1530000000,19046,28074,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","28890 Loeches, Madrid, Spain",transit,NA,1530000000,19046,28075,NA
OK,44952,3300,"19200 Azuqueca de Henares, Guadalajara, Spain","Madrid, Spain",transit,NA,1530000000,19046,28079,NA
OK,46744,4053,"19200 Azuqueca de Henares, Guadalajara, Spain","Centro, Madrid, Spain",transit,NA,1530000000,19046,28079-01,NA
OK,47561,4664,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganzuela, Madrid, Spain",transit,NA,1530000000,19046,28079-02,NA
OK,46708,4532,"19200 Azuqueca de Henares, Guadalajara, Spain","Retiro, Madrid, Spain",transit,NA,1530000000,19046,28079-03,NA
OK,47743,4079,"19200 Azuqueca de Henares, Guadalajara, Spain","Salamanca, Madrid, Spain",transit,NA,1530000000,19046,28079-04,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","05141 Chamartín, Ávila, Spain",transit,NA,1530000000,19046,28079-05,NA
OK,52392,4977,"19200 Azuqueca de Henares, Guadalajara, Spain","Tetuán, Madrid, Spain",transit,NA,1530000000,19046,28079-06,NA
OK,50132,4864,"19200 Azuqueca de Henares, Guadalajara, Spain","Chamberí, Madrid, Spain",transit,NA,1530000000,19046,28079-07,NA
ZERO_RESULTS,NA,NA,"19200 Azuqueca de Henares, Guadalajara, Spain","Fuencarral-El Pardo, 28048 Madrid, Spain",transit,NA,1530000000,19046,28079-08,NA
OK,61438,7693,"19200 Azuqueca de Henares, Guadalajara, Spain","Moncloa - Aravaca, Madrid, Spain",transit,NA,1530000000,19046,28079-09,NA
OK,50444,4363,"19200 Azuqueca de Henares, Guadalajara, Spain","Latina, Madrid, Spain",transit,NA,1530000000,19046,28079-10,NA
OK,54287,5646,"19200 Azuqueca de Henares, Guadalajara, Spain","Carabanchel, Madrid, Spain",transit,NA,1530000000,19046,28079-11,NA
OK,50796,5169,"19200 Azuqueca de Henares, Guadalajara, Spain","Usera, Madrid, Spain",transit,NA,1530000000,19046,28079-12,NA
OK,42147,3440,"19200 Azuqueca de Henares, Guadalajara, Spain","Puente de Vallecas, Madrid, Spain",transit,NA,1530000000,19046,28079-13,NA
OK,40031,3955,"19200 Azuqueca de Henares, Guadalajara, Spain","Moratalaz, 28030 Madrid, Spain",transit,NA,1530000000,19046,28079-14,NA
OK,41010,4829,"19200 Azuqueca de Henares, Guadalajara, Spain","Ciudad Lineal, Madrid, Spain",transit,NA,1530000000,19046,28079-15,NA
