status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,61846,2779,2562,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,optimistic,1530000000
OK,98885,4257,3985,"19200 Azuqueca de Henares, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,optimistic,1530000000
OK,35749,1683,1575,"19200 Azuqueca de Henares, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,optimistic,1530000000
OK,41533,2442,2306,"19200 Azuqueca de Henares, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,optimistic,1530000000
OK,18464,1331,1265,"19200 Azuqueca de Henares, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,optimistic,1530000000
OK,87734,3683,3402,"19200 Azuqueca de Henares, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,optimistic,1530000000
OK,41222,2058,1908,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,optimistic,1530000000
OK,77064,3262,3016,"19200 Azuqueca de Henares, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,optimistic,1530000000
OK,68437,4110,4138,"19200 Azuqueca de Henares, Guadalajara, Spain","28189 El Atazar, Madrid, Spain",driving,optimistic,1530000000
OK,79036,3164,2988,"19200 Azuqueca de Henares, Guadalajara, Spain","28192 El Berrueco, Madrid, Spain",driving,optimistic,1530000000
OK,71542,2925,2700,"19200 Azuqueca de Henares, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,optimistic,1530000000
OK,96306,3738,3532,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 Braojos, Madrid, Spain",driving,optimistic,1530000000
OK,82086,3533,3297,"19200 Azuqueca de Henares, Guadalajara, Spain","28690 Brunete, Madrid, Spain",driving,optimistic,1530000000
OK,10555,803,759,"19200 Azuqueca de Henares, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,optimistic,1530000000
OK,40482,2186,2048,"19200 Azuqueca de Henares, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",driving,optimistic,1530000000
OK,139121,6070,5753,"19200 Azuqueca de Henares, Guadalajara, Spain","28650 Cenicientos, Madrid, Spain",driving,optimistic,1530000000
OK,95240,4258,4077,"19200 Azuqueca de Henares, Guadalajara, Spain","Cercedilla, Madrid, Spain",driving,optimistic,1530000000
OK,74796,3283,3026,"19200 Azuqueca de Henares, Guadalajara, Spain","28350 Ciempozuelos, Madrid, Spain",driving,optimistic,1530000000
OK,30979,1578,1484,"19200 Azuqueca de Henares, Guadalajara, Spain","28863 Cobeña, Madrid, Spain",driving,optimistic,1530000000
OK,104683,4176,3913,"19200 Azuqueca de Henares, Guadalajara, Spain","28213 Colmenar del Arroyo, Madrid, Spain",driving,optimistic,1530000000
OK,72737,3345,3156,"19200 Azuqueca de Henares, Guadalajara, Spain","28380 Colmenar de Oreja, Madrid, Spain",driving,optimistic,1530000000
OK,83207,3781,3559,"19200 Azuqueca de Henares, Guadalajara, Spain","Colmenarejo, Madrid, Spain",driving,optimistic,1530000000
OK,67894,3087,2951,"19200 Azuqueca de Henares, Guadalajara, Spain","28770 Colmenar Viejo, Madrid, Spain",driving,optimistic,1530000000
OK,93697,3907,3700,"19200 Azuqueca de Henares, Guadalajara, Spain","Collado Mediano, Madrid, Spain",driving,optimistic,1530000000
OK,87051,3525,3326,"19200 Azuqueca de Henares, Guadalajara, Spain","28400 Collado Villalba, Madrid, Spain",driving,optimistic,1530000000
OK,33369,2056,1913,"19200 Azuqueca de Henares, Guadalajara, Spain","28811 Corpa, Madrid, Spain",driving,optimistic,1530000000
