status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,17199,925,948,"19208 Alovera, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",driving,best_guess,1530000000
OK,82397,3373,3529,"19208 Alovera, Guadalajara, Spain","28791 Soto del Real, Madrid, Spain",driving,best_guess,1530000000
OK,30617,1644,1675,"19208 Alovera, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",driving,best_guess,1530000000
OK,34965,1665,1732,"19208 Alovera, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",driving,best_guess,1530000000
OK,15671,1232,1258,"19208 Alovera, Guadalajara, Spain","Valdeavero, Madrid, Spain",driving,best_guess,1530000000
OK,72437,2769,2809,"19208 Alovera, Guadalajara, Spain","Valdemoro, Madrid, Spain",driving,best_guess,1530000000
OK,40069,1984,2014,"19208 Alovera, Guadalajara, Spain","Velilla de San Antonio, Madrid, Spain",driving,best_guess,1530000000
OK,34460,1818,1868,"19208 Alovera, Guadalajara, Spain","28810 Villalbilla, Madrid, Spain",driving,best_guess,1530000000
OK,89828,3713,3831,"19208 Alovera, Guadalajara, Spain","28691 Villanueva de la Cañada, Madrid, Spain",driving,best_guess,1530000000
OK,79437,3285,3316,"19208 Alovera, Guadalajara, Spain","Villaviciosa de Odón, Madrid, Spain",driving,best_guess,1530000000
OK,87028,3250,3308,"19208 Alovera, Guadalajara, Spain","28752 Lozoyuela, Madrid, Spain",driving,best_guess,1530000000
OK,61719,2587,2690,"19208 Alovera, Guadalajara, Spain","28760 Tres Cantos, Madrid, Spain",driving,best_guess,1530000000
OK,27556,1454,1504,"19200 Azuqueca de Henares, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,best_guess,1530000000
OK,85785,3541,3621,"19200 Azuqueca de Henares, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,best_guess,1530000000
OK,14366,1282,1352,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,best_guess,1530000000
OK,39579,1945,2009,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,best_guess,1530000000
OK,61846,2776,2825,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,best_guess,1530000000
OK,98885,4252,4336,"19200 Azuqueca de Henares, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,best_guess,1530000000
OK,35749,1680,1739,"19200 Azuqueca de Henares, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,best_guess,1530000000
OK,41533,2437,2499,"19200 Azuqueca de Henares, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,best_guess,1530000000
OK,18464,1331,1361,"19200 Azuqueca de Henares, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,best_guess,1530000000
OK,87734,3673,3759,"19200 Azuqueca de Henares, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,best_guess,1530000000
OK,41222,2055,2136,"19200 Azuqueca de Henares, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,best_guess,1530000000
OK,77064,3261,3306,"19200 Azuqueca de Henares, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,best_guess,1530000000
OK,68437,4085,4297,"19200 Azuqueca de Henares, Guadalajara, Spain","28189 El Atazar, Madrid, Spain",driving,best_guess,1530000000
OK,79036,3164,3224,"19200 Azuqueca de Henares, Guadalajara, Spain","28192 El Berrueco, Madrid, Spain",driving,best_guess,1530000000
OK,71542,2922,2956,"19200 Azuqueca de Henares, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,best_guess,1530000000
OK,96306,3738,3799,"19200 Azuqueca de Henares, Guadalajara, Spain","28737 Braojos, Madrid, Spain",driving,best_guess,1530000000
OK,82086,3530,3579,"19200 Azuqueca de Henares, Guadalajara, Spain","28690 Brunete, Madrid, Spain",driving,best_guess,1530000000
OK,10555,800,818,"19200 Azuqueca de Henares, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,best_guess,1530000000
OK,40482,2186,2286,"19200 Azuqueca de Henares, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",driving,best_guess,1530000000
OK,139121,6051,6149,"19200 Azuqueca de Henares, Guadalajara, Spain","28650 Cenicientos, Madrid, Spain",driving,best_guess,1530000000
OK,95240,4255,4424,"19200 Azuqueca de Henares, Guadalajara, Spain","Cercedilla, Madrid, Spain",driving,best_guess,1530000000
OK,74796,3279,3365,"19200 Azuqueca de Henares, Guadalajara, Spain","28350 Ciempozuelos, Madrid, Spain",driving,best_guess,1530000000
OK,30979,1575,1623,"19200 Azuqueca de Henares, Guadalajara, Spain","28863 Cobeña, Madrid, Spain",driving,best_guess,1530000000
OK,104683,4172,4275,"19200 Azuqueca de Henares, Guadalajara, Spain","28213 Colmenar del Arroyo, Madrid, Spain",driving,best_guess,1530000000
OK,72737,3343,3487,"19200 Azuqueca de Henares, Guadalajara, Spain","28380 Colmenar de Oreja, Madrid, Spain",driving,best_guess,1530000000
OK,83207,3779,3894,"19200 Azuqueca de Henares, Guadalajara, Spain","Colmenarejo, Madrid, Spain",driving,best_guess,1530000000
OK,67894,3087,3225,"19200 Azuqueca de Henares, Guadalajara, Spain","28770 Colmenar Viejo, Madrid, Spain",driving,best_guess,1530000000
OK,93697,3906,4028,"19200 Azuqueca de Henares, Guadalajara, Spain","Collado Mediano, Madrid, Spain",driving,best_guess,1530000000
OK,87051,3524,3641,"19200 Azuqueca de Henares, Guadalajara, Spain","28400 Collado Villalba, Madrid, Spain",driving,best_guess,1530000000
OK,33369,2053,2126,"19200 Azuqueca de Henares, Guadalajara, Spain","28811 Corpa, Madrid, Spain",driving,best_guess,1530000000
OK,36056,1733,1758,"19200 Azuqueca de Henares, Guadalajara, Spain","Coslada, Madrid, Spain",driving,best_guess,1530000000
OK,80453,3367,3434,"19200 Azuqueca de Henares, Guadalajara, Spain","28978 Cubas de la Sagra, Madrid, Spain",driving,best_guess,1530000000
OK,71878,3475,3621,"19200 Azuqueca de Henares, Guadalajara, Spain","28370 Chinchón, Madrid, Spain",driving,best_guess,1530000000
OK,25145,1363,1419,"19200 Azuqueca de Henares, Guadalajara, Spain","28814 Daganzo de Arriba, Madrid, Spain",driving,best_guess,1530000000
OK,31189,1556,1623,"19200 Azuqueca de Henares, Guadalajara, Spain","28815 Fresno de Torote, Madrid, Spain",driving,best_guess,1530000000
OK,69344,2854,2897,"19200 Azuqueca de Henares, Guadalajara, Spain","Fuenlabrada, Madrid, Spain",driving,best_guess,1530000000
OK,39754,1898,1967,"19200 Azuqueca de Henares, Guadalajara, Spain","28140 Fuente el Saz de Jarama, Madrid, Spain",driving,best_guess,1530000000
