status,distance.value,duration.value,duration_in_traffic.value,origin,origin_ine_code,dest_ine_code,destination
OK,31596,1615,1680,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28075,"28890 Loeches, Madrid, Spain"
OK,49139,2714,2899,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079,"Madrid, Spain"
OK,49174,2730,2934,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-01,"Centro, Madrid, Spain"
OK,51125,2343,2369,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-02,"Arganzuela, Madrid, Spain"
OK,46166,2268,2304,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-03,"Retiro, Madrid, Spain"
OK,44149,2344,2647,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-04,"Salamanca, Madrid, Spain"
OK,182013,6932,7099,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-05,"05141 Chamartín, Ávila, Spain"
OK,46136,2536,2729,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-06,"Tetuán, Madrid, Spain"
OK,45685,2488,2743,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-07,"Chamberí, Madrid, Spain"
OK,59833,2830,2985,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-08,"Fuencarral-El Pardo, 28048 Madrid, Spain"
OK,60679,2523,2622,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-09,"Moncloa - Aravaca, Madrid, Spain"
OK,54357,2821,2853,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-10,"Latina, Madrid, Spain"
OK,54992,2650,2675,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-11,"Carabanchel, Madrid, Spain"
OK,52902,2534,2571,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-12,"Usera, Madrid, Spain"
OK,48151,2316,2348,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-13,"Puente de Vallecas, Madrid, Spain"
OK,44692,2074,2114,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-14,"Moratalaz, 28030 Madrid, Spain"
OK,40212,1885,1927,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-15,"Ciudad Lineal, Madrid, Spain"
OK,40136,1913,1958,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-16,"Hortaleza, Madrid, Spain"
OK,53644,2580,2635,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-17,"Villaverde, Madrid, Spain"
OK,45081,1761,1796,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-18,"Villa de Vallecas, Madrid, Spain"
OK,44407,2190,2223,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-19,"Vicálvaro, Madrid, Spain"
OK,39390,1977,2018,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-20,"San Blas, Madrid, Spain"
OK,37706,1852,1896,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28079-21,"Barajas, 28042 Madrid, Spain"
OK,66715,2850,2956,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28080,"Majadahonda, Madrid, Spain"
OK,5750,433,444,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28083,"28880 Meco, Madrid, Spain"
OK,30665,1615,1671,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28084,"Mejorada del Campo, Madrid, Spain"
OK,76753,3063,3147,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28089,"28950 Moraleja de Enmedio, Madrid, Spain"
OK,86397,3728,3868,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28090,"Moralzarzal, Madrid, Spain"
OK,68947,3122,3165,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28092,"Móstoles, Madrid, Spain"
OK,96123,4122,4259,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28095,"28212 Navalagamella, Madrid, Spain"
OK,80476,3335,3385,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28096,"Navalcarnero, 28600, Madrid, Spain"
OK,47198,2363,2482,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28100,"28514 Nuevo Baztán, Madrid, Spain"
OK,38220,1734,1770,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28104,"Paracuellos de Jarama, Madrid, Spain"
OK,68754,2856,2909,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28106,"Parla, Madrid, Spain"
OK,63581,2521,2568,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28113,"28320 Pinto, Madrid, Spain"
OK,61328,2614,2711,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28115,"Pozuelo de Alarcón, Madrid, Spain"
OK,47341,2157,2196,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28123,"Rivas-Vaciamadrid, Madrid, Spain"
OK,66036,2768,2868,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28127,"Las Rozas, Madrid, Spain"
OK,49455,2171,2222,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28129,"28750 San Agustín del Guadalix, Madrid, Spain"
OK,34383,1520,1550,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28130,"San Fernando de Henares, 28830, Madrid, Spain"
OK,64870,2912,3064,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28132,"28330 San Martín de la Vega, Madrid, Spain"
OK,39688,1941,1985,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28134,"San Sebastián de los Reyes, Madrid, Spain"
OK,11466,765,800,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28137,"28817 Los Santos de la Humosa, Madrid, Spain"
OK,93792,3505,3567,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28138,"28737 La Serna del Monte, Madrid, Spain"
OK,35766,2295,2440,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28145,"28160 Talamanca de Jarama, Madrid, Spain"
OK,50067,2698,2793,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28146,"28550 Tielmes, Madrid, Spain"
OK,24884,1484,1528,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28148,"Torrejón de Ardoz, Madrid, Spain"
OK,29232,1505,1588,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28154,"28813 Torres de la Alameda, Madrid, Spain"
OK,16716,1508,1589,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28156,"Valdeavero, Madrid, Spain"
OK,66704,2609,2661,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28161,"Valdemoro, Madrid, Spain"
OK,32170,2029,2119,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28162,"28130 Valdeolmos-Alalpardo, Madrid, Spain"
OK,43965,2353,2445,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28165,"28511 Valdilecha, Madrid, Spain"
OK,34336,1824,1868,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28167,"Velilla de San Antonio, Madrid, Spain"
OK,65855,2628,2686,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28169,"28729 Venturada, Madrid, Spain"
OK,28726,1658,1720,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28172,"28810 Villalbilla, Madrid, Spain"
OK,78973,3598,3706,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28177,"Villanueva del Pardillo, 28229, Madrid, Spain"
OK,73704,3125,3166,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28181,"Villaviciosa de Odón, Madrid, Spain"
OK,56070,2434,2538,"19200 Azuqueca de Henares, Guadalajara, Spain",19046,28903,"28760 Tres Cantos, Madrid, Spain"
OK,33536,1617,1666,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28002,"28864 Ajalvir, Madrid, Spain"
OK,96513,3912,3978,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28004,"28607 El Álamo, Madrid, Spain"
OK,26026,1683,1747,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28005,"Alcala de Henares, Madrid, Spain"
OK,46542,2087,2148,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28006,"Alcobendas, Madrid, Spain"
OK,72574,3146,3177,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28007,"Alcorcón, Madrid, Spain"
OK,41728,1843,1899,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28009,"28110 Algete, Madrid, Spain"
OK,30123,1732,1745,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28012,"28818 Anchuelo, Madrid, Spain"
OK,97605,3989,4075,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28013,"28300 Aranjuez, Madrid, Spain"
OK,52882,2456,2519,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,87792,3632,3658,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,92328,3380,3443,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28022,"Boadilla del Monte, Madrid, Spain"
OK,76469,3780,3855,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28025,"28596 Brea de Tajo, Madrid, Spain"
OK,21012,1434,1462,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,52141,2587,2671,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28033,"28510 Campo Real, Madrid, Spain"
OK,102203,4398,4558,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28038,"Cercedilla, Madrid, Spain"
OK,36958,1738,1783,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28041,"28863 Cobeña, Madrid, Spain"
OK,74857,3230,3353,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28045,"28770 Colmenar Viejo, Madrid, Spain"
OK,45028,2454,2514,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28048,"28811 Corpa, Madrid, Spain"
OK,45993,2060,2081,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28049,"Coslada, Madrid, Spain"
OK,31125,1526,1578,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28053,"28814 Daganzo de Arriba, Madrid, Spain"
OK,79215,3169,3209,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28058,"Fuenlabrada, Madrid, Spain"
OK,34971,2108,2183,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28059,"28140 Fuente el Saz de Jarama, Madrid, Spain"
OK,89341,3944,4045,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28061,"Galapagar, Madrid, Spain"
OK,69163,3027,3072,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28065,"Getafe, Madrid, Spain"
OK,92955,3599,3673,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28066,"28971 Griñón, Madrid, Spain"
OK,57942,3103,3284,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28067,"28794 Guadalix de la Sierra, Madrid, Spain"
OK,74578,3074,3121,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28074,"Leganés, Madrid, Spain"
OK,59867,3085,3225,"19171 Cabanillas del Campo, Guadalajara, Spain",19058,28079,"Madrid, Spain"
